Datum,Potrošnja
2023-01-01,300
2023-01-02,295
2023-01-03,305
2023-01-04,290
2023-01-05,298
2023-01-06,285
2023-01-07,292
2023-01-08,288
2023-01-09,280
2023-01-10,285
2023-01-11,275
2023-01-12,282
2023-01-13,270
2023-01-14,278
2023-01-15,272
2023-01-16,265
2023-01-17,270
2023-01-18,260
2023-01-19,268
2023-01-20,255
2023-01-21,262
2023-01-22,258
2023-01-23,250
2023-01-24,255
2023-01-25,245
2023-01-26,252
2023-01-27,240
2023-01-28,248
2023-01-29,242
2023-01-30,235
2023-01-31,240
2023-02-01,230
2023-02-02,238
2023-02-03,225
2023-02-04,232
2023-02-05,228
2023-02-06,220
2023-02-07,225
2023-02-08,215
2023-02-09,222
2023-02-10,210
2023-02-11,218
2023-02-12,212
2023-02-13,205
2023-02-14,210
2023-02-15,200
2023-02-16,208
2023-02-17,195
2023-02-18,202
2023-02-19,198
2023-02-20,190
2023-02-21,195
2023-02-22,185
2023-02-23,192
2023-02-24,180
2023-02-25,188
2023-02-26,182
2023-02-27,175
2023-02-28,180
2023-03-01,170
2023-03-02,178
2023-03-03,165
2023-03-04,172
2023-03-05,168
2023-03-06,160
2023-03-07,165
2023-03-08,155
2023-03-09,162
2023-03-10,150
2023-03-11,158
2023-03-12,152
2023-03-13,145
2023-03-14,150
2023-03-15,140
2023-03-16,148
2023-03-17,135
2023-03-18,142
2023-03-19,138
2023-03-20,130
2023-03-21,135
2023-03-22,125
2023-03-23,132
2023-03-24,120
2023-03-25,128
2023-03-26,122
2023-03-27,115
2023-03-28,120
2023-03-29,110
2023-03-30,118
2023-03-31,105
