Datum,Potrošnja
2023-01-01,120
2023-01-02,132
2023-01-03,145
2023-01-04,138
2023-01-05,155
2023-01-06,170
2023-01-07,142
2023-01-08,125
2023-01-09,137
2023-01-10,150
2023-01-11,143
2023-01-12,160
2023-01-13,178
2023-01-14,148
2023-01-15,130
2023-01-16,142
2023-01-17,156
2023-01-18,149
2023-01-19,167
2023-01-20,185
2023-01-21,155
2023-01-22,138
2023-01-23,150
2023-01-24,163
2023-01-25,157
2023-01-26,174
2023-01-27,192
2023-01-28,162
2023-01-29,145
2023-01-30,157
2023-01-31,170
2023-02-01,164
2023-02-02,181
2023-02-03,199
2023-02-04,169
2023-02-05,152
2023-02-06,164
2023-02-07,177
2023-02-08,171
2023-02-09,188
2023-02-10,206
2023-02-11,176
2023-02-12,159
2023-02-13,171
2023-02-14,184
2023-02-15,178
2023-02-16,195
2023-02-17,213
2023-02-18,183
2023-02-19,166
2023-02-20,178
2023-02-21,191
2023-02-22,185
2023-02-23,202
2023-02-24,220
2023-02-25,190
2023-02-26,173
2023-02-27,185
2023-02-28,198
2023-03-01,192
2023-03-02,209
2023-03-03,227
2023-03-04,197
2023-03-05,180
2023-03-06,192
2023-03-07,205
2023-03-08,199
2023-03-09,216
2023-03-10,234
2023-03-11,204
2023-03-12,187
2023-03-13,199
2023-03-14,212
2023-03-15,206
2023-03-16,223
2023-03-17,241
2023-03-18,211
2023-03-19,194
2023-03-20,206
2023-03-21,219
2023-03-22,213
2023-03-23,230
2023-03-24,248
2023-03-25,218
2023-03-26,201
2023-03-27,213
2023-03-28,226
2023-03-29,220
2023-03-30,237
2023-03-31,255
