Datum,Potrošnja
2023-01-01,100
2023-01-02,103
2023-01-03,98
2023-01-04,101
2023-01-05,99
2023-01-06,102
2023-01-07,97
2023-01-08,100
2023-01-09,104
2023-01-10,96
2023-01-11,101
2023-01-12,99
2023-01-13,103
2023-01-14,98
2023-01-15,100
2023-01-16,102
2023-01-17,97
2023-01-18,101
2023-01-19,99
2023-01-20,104
2023-01-21,96
2023-01-22,100
2023-01-23,103
2023-01-24,98
2023-01-25,101
2023-01-26,99
2023-01-27,102
2023-01-28,97
2023-01-29,100
2023-01-30,104
2023-01-31,96
2023-02-01,101
2023-02-02,99
2023-02-03,103
2023-02-04,98
2023-02-05,100
2023-02-06,102
2023-02-07,97
2023-02-08,101
2023-02-09,99
2023-02-10,104
2023-02-11,96
2023-02-12,100
2023-02-13,103
2023-02-14,98
2023-02-15,101
2023-02-16,99
2023-02-17,102
2023-02-18,97
2023-02-19,100
2023-02-20,104
2023-02-21,96
2023-02-22,101
2023-02-23,99
2023-02-24,103
2023-02-25,98
2023-02-26,100
2023-02-27,102
2023-02-28,97
2023-03-01,101
