Datum,Potrošnja
2023-01-01,80
2023-01-02,150
2023-01-03,170
2023-01-04,160
2023-01-05,180
2023-01-06,140
2023-01-07,70
2023-01-08,75
2023-01-09,148
2023-01-10,165
2023-01-11,158
2023-01-12,175
2023-01-13,138
2023-01-14,68
2023-01-15,82
2023-01-16,152
2023-01-17,172
2023-01-18,162
2023-01-19,182
2023-01-20,142
2023-01-21,72
2023-01-22,78
2023-01-23,146
2023-01-24,168
2023-01-25,155
2023-01-26,178
2023-01-27,136
2023-01-28,65
2023-01-29,83
2023-01-30,155
2023-01-31,174
2023-02-01,163
2023-02-02,185
2023-02-03,145
2023-02-04,73
2023-02-05,80
2023-02-06,149
2023-02-07,167
2023-02-08,157
2023-02-09,176
2023-02-10,139
2023-02-11,69
2023-02-12,84
2023-02-13,153
2023-02-14,171
2023-02-15,161
2023-02-16,179
2023-02-17,141
2023-02-18,71
2023-02-19,77
2023-02-20,147
2023-02-21,169
2023-02-22,156
2023-02-23,177
2023-02-24,137
2023-02-25,66
2023-02-26,81
2023-02-27,151
2023-02-28,173
2023-03-01,164
2023-03-02,183
2023-03-03,143
2023-03-04,74
2023-03-05,79
2023-03-06,148
2023-03-07,166
2023-03-08,159
2023-03-09,178
2023-03-10,140
2023-03-11,70
2023-03-12,85
2023-03-13,154
2023-03-14,172
2023-03-15,162
2023-03-16,181
2023-03-17,144
2023-03-18,72
2023-03-19,78
2023-03-20,150
2023-03-21,168
2023-03-22,158
2023-03-23,180
2023-03-24,141
2023-03-25,67
2023-03-26,82
2023-03-27,152
2023-03-28,170
2023-03-29,160
2023-03-30,179
2023-03-31,142
