Datum,Potrošnja
2023-01-01,200
2023-01-02,185
2023-01-03,310
2023-01-04,195
2023-01-05,180
2023-01-06,205
2023-01-07,170
2023-01-08,350
2023-01-09,190
2023-01-10,210
2023-01-11,175
2023-01-12,195
2023-01-13,400
2023-01-14,185
2023-01-15,200
2023-01-16,220
2023-01-17,180
2023-01-18,190
2023-01-19,205
2023-01-20,360
2023-01-21,175
2023-01-22,195
2023-01-23,210
2023-01-24,185
2023-01-25,200
2023-01-26,170
2023-01-27,380
2023-01-28,195
2023-01-29,205
2023-01-30,180
2023-01-31,215
2023-02-01,190
2023-02-02,200
2023-02-03,340
2023-02-04,185
2023-02-05,175
2023-02-06,210
2023-02-07,195
2023-02-08,205
2023-02-09,370
2023-02-10,180
2023-02-11,200
2023-02-12,190
2023-02-13,215
2023-02-14,185
2023-02-15,395
2023-02-16,195
2023-02-17,205
2023-02-18,180
2023-02-19,210
2023-02-20,190
2023-02-21,355
2023-02-22,200
2023-02-23,185
2023-02-24,195
2023-02-25,220
2023-02-26,175
2023-02-27,205
2023-02-28,380
2023-03-01,190
2023-03-02,200
2023-03-03,185
2023-03-04,210
2023-03-05,195
2023-03-06,345
2023-03-07,180
2023-03-08,200
2023-03-09,215
2023-03-10,190
2023-03-11,175
2023-03-12,365
2023-03-13,205
2023-03-14,195
2023-03-15,185
2023-03-16,210
2023-03-17,200
2023-03-18,390
2023-03-19,180
2023-03-20,195
2023-03-21,205
2023-03-22,175
2023-03-23,215
2023-03-24,190
2023-03-25,350
2023-03-26,200
2023-03-27,185
2023-03-28,210
2023-03-29,195
2023-03-30,205
2023-03-31,375
